Measured unit,Wavelength (m)
203.0789755,203.0789755e-9
203.085751,203.085751e-9
203.0925262,203.0925262e-9
203.099301,203.099301e-9
203.1060754,203.1060754e-9
203.1128495,203.1128495e-9
203.1196232,203.1196232e-9
203.1263965,203.1263965e-9
203.1331695,203.1331695e-9
203.1399421,203.1399421e-9
203.1467143,203.1467143e-9
203.1534861,203.1534861e-9
203.1602576,203.1602576e-9
203.1670286,203.1670286e-9
203.1737994,203.1737994e-9
203.1805697,203.1805697e-9
203.1873397,203.1873397e-9
203.1941093,203.1941093e-9
203.2008785,203.2008785e-9
203.2076474,203.2076474e-9
203.2144159,203.2144159e-9
203.221184,203.221184e-9
203.2279517,203.2279517e-9
203.2347191,203.2347191e-9
203.2414861,203.2414861e-9
203.2482527,203.2482527e-9
203.255019,203.255019e-9
203.2617849,203.2617849e-9
203.2685504,203.2685504e-9
203.2753155,203.2753155e-9
203.2820803,203.2820803e-9
203.2888447,203.2888447e-9
203.2956087,203.2956087e-9
203.3023724,203.3023724e-9
203.3091357,203.3091357e-9
203.3158986,203.3158986e-9
203.3226611,203.3226611e-9
203.3294233,203.3294233e-9
203.3361851,203.3361851e-9
203.3429465,203.3429465e-9
203.3497076,203.3497076e-9
203.3564683,203.3564683e-9
203.3632286,203.3632286e-9
203.3699885,203.3699885e-9
203.3767481,203.3767481e-9
203.3835073,203.3835073e-9
203.3902661,203.3902661e-9
203.3970245,203.3970245e-9
203.4037826,203.4037826e-9
203.4105403,203.4105403e-9
203.4172976,203.4172976e-9
203.4240546,203.4240546e-9
203.4308112,203.4308112e-9
203.4375674,203.4375674e-9
203.4443233,203.4443233e-9
203.4510787,203.4510787e-9
203.4578338,203.4578338e-9
203.4645886,203.4645886e-9
203.4713429,203.4713429e-9
203.4780969,203.4780969e-9
203.4848505,203.4848505e-9
203.4916038,203.4916038e-9
203.4983567,203.4983567e-9
203.5051092,203.5051092e-9
203.5118613,203.5118613e-9
203.518613,203.518613e-9
203.5253644,203.5253644e-9
203.5321154,203.5321154e-9
203.5388661,203.5388661e-9
203.5456164,203.5456164e-9
203.5523663,203.5523663e-9
203.5591158,203.5591158e-9
203.5658649,203.5658649e-9
203.5726137,203.5726137e-9
203.5793621,203.5793621e-9
203.5861102,203.5861102e-9
203.5811903,203.5811903e-9
203.5880766,203.5880766e-9
203.5949626,203.5949626e-9
203.6018481,203.6018481e-9
203.6087333,203.6087333e-9
203.6156181,203.6156181e-9
203.6225025,203.6225025e-9
203.6293865,203.6293865e-9
203.6362702,203.6362702e-9
203.6431534,203.6431534e-9
203.6500363,203.6500363e-9
203.6569188,203.6569188e-9
203.663801,203.663801e-9
203.6706827,203.6706827e-9
203.6775641,203.6775641e-9
203.6844451,203.6844451e-9
203.6913257,203.6913257e-9
203.698206,203.698206e-9
203.7050859,203.7050859e-9
203.7119653,203.7119653e-9
203.7188444,203.7188444e-9
203.7257232,203.7257232e-9
203.7326015,203.7326015e-9
203.7394795,203.7394795e-9
203.7463571,203.7463571e-9
203.7532343,203.7532343e-9
203.7601111,203.7601111e-9
203.7669876,203.7669876e-9
203.7738637,203.7738637e-9
203.7807394,203.7807394e-9
203.7876147,203.7876147e-9
203.7944896,203.7944896e-9
203.8013642,203.8013642e-9
203.8082384,203.8082384e-9
203.8151122,203.8151122e-9
203.8219856,203.8219856e-9
203.8288586,203.8288586e-9
203.8357313,203.8357313e-9
203.8426036,203.8426036e-9
203.8494755,203.8494755e-9
203.856347,203.856347e-9
203.8632182,203.8632182e-9
203.870089,203.870089e-9
203.8769594,203.8769594e-9
203.8838294,203.8838294e-9
203.890699,203.890699e-9
203.8975683,203.8975683e-9
203.9044372,203.9044372e-9
203.9113057,203.9113057e-9
203.9181738,203.9181738e-9
203.9250415,203.9250415e-9
203.9319089,203.9319089e-9
203.9387759,203.9387759e-9
203.9456425,203.9456425e-9
203.9525087,203.9525087e-9
203.9593746,203.9593746e-9
203.96624,203.96624e-9
203.9731051,203.9731051e-9
203.9799699,203.9799699e-9
203.9868342,203.9868342e-9
203.9936981,203.9936981e-9
204.0005617,204.0005617e-9
204.0074249,204.0074249e-9
204.0142877,204.0142877e-9
204.0211502,204.0211502e-9
204.0280123,204.0280123e-9
204.0348739,204.0348739e-9
204.0417352,204.0417352e-9
204.0485962,204.0485962e-9
204.0554567,204.0554567e-9
204.0623169,204.0623169e-9
204.0691767,204.0691767e-9
204.0760361,204.0760361e-9
204.0828951,204.0828951e-9
204.0897538,204.0897538e-9
204.0966121,204.0966121e-9
204.10347,204.10347e-9
204.1103275,204.1103275e-9
204.1171846,204.1171846e-9
204.1240414,204.1240414e-9
204.1308978,204.1308978e-9
204.1377538,204.1377538e-9
204.1446094,204.1446094e-9
204.1514646,204.1514646e-9
204.1583195,204.1583195e-9
204.165174,204.165174e-9
204.1720281,204.1720281e-9
204.1788818,204.1788818e-9
204.1857352,204.1857352e-9
204.1925882,204.1925882e-9
204.1994407,204.1994407e-9
204.206293,204.206293e-9
204.2131448,204.2131448e-9
204.2199963,204.2199963e-9
204.2268473,204.2268473e-9
204.233698,204.233698e-9
204.2405484,204.2405484e-9
204.2473983,204.2473983e-9
204.2542479,204.2542479e-9
204.2610971,204.2610971e-9
204.2679459,204.2679459e-9
204.2747943,204.2747943e-9
204.2816423,204.2816423e-9
204.28849,204.28849e-9
204.2953373,204.2953373e-9
204.3021842,204.3021842e-9
204.3090308,204.3090308e-9
204.3158769,204.3158769e-9
204.3227227,204.3227227e-9
204.3295681,204.3295681e-9
204.3364131,204.3364131e-9
204.3432577,204.3432577e-9
204.350102,204.350102e-9
204.3569459,204.3569459e-9
204.3637894,204.3637894e-9
204.3706325,204.3706325e-9
204.3774753,204.3774753e-9
204.3843176,204.3843176e-9
204.3911596,204.3911596e-9
204.3980012,204.3980012e-9
204.4048425,204.4048425e-9
204.4116833,204.4116833e-9
204.4185238,204.4185238e-9
204.4253639,204.4253639e-9
204.4322036,204.4322036e-9
