Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
202.749966,2.0275E-07,0,1,0
202.75676,2.02757E-07,0,1,0
202.763553,2.02764E-07,0,1,0
202.770346,2.0277E-07,0,1,0
202.777139,2.02777E-07,0,1,0
202.783931,2.02784E-07,0,1,0
202.790723,2.02791E-07,0,1,0
202.797514,2.02798E-07,0,1,0
202.804306,2.02804E-07,0,1,0
202.811096,2.02811E-07,0,1,0
202.817887,2.02818E-07,0,1,0
202.824677,2.02825E-07,0,1,0
202.831466,2.02831E-07,0,1,0
202.838256,2.02838E-07,0,1,0
202.845044,2.02845E-07,0,1,0
202.851833,2.02852E-07,0,1,0
202.858621,2.02859E-07,0,1,0
202.865409,2.02865E-07,0,1,0
202.872196,2.02872E-07,0,1,0
202.878983,2.02879E-07,0,1,0
202.88577,2.02886E-07,0,1,0
202.892556,2.02893E-07,0,1,0
202.899342,2.02899E-07,0,1,0
202.906127,2.02906E-07,0,1,0
202.912912,2.02913E-07,0,1,0
202.919697,2.0292E-07,0,1,0
202.926482,2.02926E-07,0,1,0
202.933266,2.02933E-07,0,1,0
202.940049,2.0294E-07,0,1,0
202.946832,2.02947E-07,0,1,0
202.953615,2.02954E-07,0,1,0
202.960398,2.0296E-07,0,1,0
202.96718,2.02967E-07,0,1,0
202.973961,2.02974E-07,0,1,0
202.980743,2.02981E-07,0,1,0
202.987524,2.02988E-07,0,1,0
202.994304,2.02994E-07,0,1,0
203.001084,2.03001E-07,0,1,0
203.007864,2.03008E-07,0,1,0
203.014644,2.03015E-07,0,1,0
203.021423,2.03021E-07,0,1,0
203.028201,2.03028E-07,0,1,0
203.03498,2.03035E-07,0,1,0
203.041758,2.03042E-07,0,1,0
203.048535,2.03049E-07,0,1,0
203.055312,2.03055E-07,0,1,0
203.062089,2.03062E-07,0,1,0
203.068866,2.03069E-07,0,1,0
203.075642,2.03076E-07,0,1,0
203.082417,2.03082E-07,0,1,0
203.089193,2.03089E-07,0,1,0
203.095967,2.03096E-07,0,1,0
203.102742,2.03103E-07,0,1,0
203.109516,2.0311E-07,0,1,0
203.11629,2.03116E-07,0,1,0
203.123063,2.03123E-07,0,1,0
203.129836,2.0313E-07,0,1,0
203.136609,2.03137E-07,0,1,0
203.143381,2.03143E-07,0,1,0
203.150153,2.0315E-07,0,1,0
203.156925,2.03157E-07,0,1,0
203.163696,2.03164E-07,0,1,0
203.170466,2.0317E-07,0,1,0
203.177237,2.03177E-07,0,1,0
203.184007,2.03184E-07,0,1,0
203.190776,2.03191E-07,0,1,0
203.197546,2.03198E-07,0,1,0
203.204314,2.03204E-07,0,1,0
203.211083,2.03211E-07,0,1,0
203.217851,2.03218E-07,0,1,0
203.224619,2.03225E-07,0,1,0
203.231386,2.03231E-07,0,1,0
203.238153,2.03238E-07,0,1,0
203.24492,2.03245E-07,0,1,0
203.251686,2.03252E-07,0,1,0
203.258452,2.03258E-07,0,1,0
203.265217,2.03265E-07,0,1,0
203.271982,2.03272E-07,0,1,0
203.278747,2.03279E-07,0,1,0
203.285511,2.03286E-07,0,1,0
203.292275,2.03292E-07,0,1,0
203.299039,2.03299E-07,0,1,0
203.305802,2.03306E-07,0,1,0
203.312565,2.03313E-07,0,1,0
203.319327,2.03319E-07,0,1,0
203.326089,2.03326E-07,0,1,0
203.332851,2.03333E-07,0,1,0
203.339612,2.0334E-07,0,1,0
203.346373,2.03346E-07,0,1,0
203.353133,2.03353E-07,0,1,0
203.359893,2.0336E-07,0,1,0
203.366653,2.03367E-07,0,1,0
203.373413,2.03373E-07,0,1,0
203.380172,2.0338E-07,0,1,0
