Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
561,6.56596E-07,0.000436438,,
562,6.56605E-07,0.000436567,,
563,6.56614E-07,0.000436587,,
564,6.56624E-07,0.000436474,,
565,6.56633E-07,0.000436603,,
566,6.56643E-07,0.000436526,,
567,6.56652E-07,0.000436728,,
568,6.56662E-07,0.000436586,,
569,6.56671E-07,0.000436338,,
570,6.5668E-07,0.000435754,,
571,6.5669E-07,0.000435508,,
572,6.56699E-07,0.000434949,,
573,6.56709E-07,0.000434522,,
574,6.56718E-07,0.000434077,,
575,6.56728E-07,0.000434209,,
576,6.56737E-07,0.000434432,,
577,6.56747E-07,0.000434774,,
578,6.56756E-07,0.000434771,,
579,6.56765E-07,0.000434972,,
580,6.56775E-07,0.000434603,,
581,6.56784E-07,0.000434188,,
582,6.56794E-07,0.000434097,,
583,6.56803E-07,0.000433821,,
584,6.56813E-07,0.000432862,,
585,6.56822E-07,0.000432609,,
586,6.56831E-07,0.000432461,,
587,6.56841E-07,0.00043255,,
588,6.5685E-07,0.000432189,,
589,6.5686E-07,0.000432616,,
590,6.56869E-07,0.000432779,,
591,6.56879E-07,0.000432237,,
592,6.56888E-07,0.000431746,,
593,6.56897E-07,0.000431419,,
594,6.56907E-07,0.000430788,,
595,6.56916E-07,0.000430078,,
596,6.56926E-07,0.000429798,,
597,6.56935E-07,0.000429772,,
598,6.56945E-07,0.000428805,,
599,6.56954E-07,0.000428308,,
600,6.56964E-07,0.000428327,,
601,6.56973E-07,0.00042857,,
602,6.56982E-07,0.000429341,,
603,6.56992E-07,0.00042948,,
604,6.57001E-07,0.000429486,,
605,6.57011E-07,0.000428854,,
606,6.5702E-07,0.000428669,,
607,6.5703E-07,0.000429339,,
608,6.57039E-07,0.000429963,,
609,6.57048E-07,0.00043062,,
610,6.57058E-07,0.000431129,,
611,6.57067E-07,0.000430839,,
612,6.57077E-07,0.000431433,,
613,6.57086E-07,0.000432191,,
614,6.57096E-07,0.000433669,,
615,6.57105E-07,0.000434513,,
616,6.57114E-07,0.000434376,,
617,6.57124E-07,0.000434831,,
618,6.57133E-07,0.000434584,,
619,6.57143E-07,0.000433917,,
620,6.57152E-07,0.00043411,,
621,6.57162E-07,0.000433858,,
622,6.57171E-07,0.000433709,,
623,6.57181E-07,0.000432702,,
624,6.5719E-07,0.000431821,,
625,6.57199E-07,0.000431569,,
626,6.57209E-07,0.000430764,,
627,6.57218E-07,0.000430565,,
628,6.57228E-07,0.000431087,,
629,6.57237E-07,0.000431032,,
630,6.57247E-07,0.000430806,,
631,6.57256E-07,0.000430998,,
632,6.57265E-07,0.000431442,,
633,6.57275E-07,0.000431836,,
634,6.57284E-07,0.000432706,,
635,6.57294E-07,0.000433305,,
636,6.57303E-07,0.000433487,,
637,6.57313E-07,0.000432884,,
638,6.57322E-07,0.00043239,,
639,6.57331E-07,0.000432266,,
640,6.57341E-07,0.000431627,,
641,6.5735E-07,0.000431023,,
642,6.5736E-07,0.00043049,,
643,6.57369E-07,0.000429748,,
644,6.57379E-07,0.000429202,,
645,6.57388E-07,0.000428804,,
646,6.57398E-07,0.000429293,,
647,6.57407E-07,0.000429502,,
648,6.57416E-07,0.000429721,,
649,6.57426E-07,0.000429879,,
650,6.57435E-07,0.000430039,,
651,6.57445E-07,0.000430283,,
652,6.57454E-07,0.000430176,,
653,6.57464E-07,0.000430529,,
654,6.57473E-07,0.000430873,,
655,6.57482E-07,0.000430355,,
656,6.57492E-07,0.000430465,,
657,6.57501E-07,0.000430646,,
658,6.57511E-07,0.000430599,,
659,6.5752E-07,0.000430397,,
660,6.5753E-07,0.000430058,,
661,6.57539E-07,0.000429587,,
662,6.57548E-07,0.000429304,,
663,6.57558E-07,0.000429065,,
664,6.57567E-07,0.000429017,,
665,6.57577E-07,0.000428973,,
666,6.57586E-07,0.000428406,,
667,6.57596E-07,0.000428583,,
668,6.57605E-07,0.000429011,,
669,6.57614E-07,0.000429519,,
670,6.57624E-07,0.000430534,,
671,6.57633E-07,0.000430794,,
672,6.57643E-07,0.000430971,,
673,6.57652E-07,0.000431478,,
674,6.57662E-07,0.000431712,,
675,6.57671E-07,0.0004321,,
676,6.57681E-07,0.000431784,,
677,6.5769E-07,0.000431454,,
678,6.57699E-07,0.000430944,,
679,6.57709E-07,0.000429863,,
680,6.57718E-07,0.000429213,,
681,6.57728E-07,0.000429282,,
682,6.57737E-07,0.000429247,,
683,6.57747E-07,0.000428797,,
684,6.57756E-07,0.000428489,,
685,6.57765E-07,0.00042852,,
686,6.57775E-07,0.000428431,,
687,6.57784E-07,0.000428678,,
688,6.57794E-07,0.000429498,,
689,6.57803E-07,0.000429591,,
690,6.57813E-07,0.000428954,,
691,6.57822E-07,0.000427819,,
692,6.57831E-07,0.000427786,,
693,6.57841E-07,0.000427754,,
694,6.5785E-07,0.000427854,,
695,6.5786E-07,0.000428,,
696,6.57869E-07,0.000428393,,
697,6.57879E-07,0.000428137,,
698,6.57888E-07,0.000428028,,
699,6.57898E-07,0.000428446,,
700,6.57907E-07,0.000428998,,
701,6.57916E-07,0.000428918,,
702,6.57926E-07,0.000428629,,
703,6.57935E-07,0.000428007,,
704,6.57945E-07,0.000427958,,
705,6.57954E-07,0.000427487,,
706,6.57964E-07,0.000427023,,
707,6.57973E-07,0.000426993,,
708,6.57982E-07,0.000426685,,
709,6.57992E-07,0.000426675,,
710,6.58001E-07,0.000426657,,
711,6.58011E-07,0.000426224,,
712,6.5802E-07,0.000426355,,
713,6.5803E-07,0.000426281,,
714,6.58039E-07,0.000425926,,
715,6.58048E-07,0.000426209,,
716,6.58058E-07,0.000426476,,
717,6.58067E-07,0.000426723,,
718,6.58077E-07,0.000426617,,
719,6.58086E-07,0.000426608,,
720,6.58096E-07,0.000427149,,
721,6.58105E-07,0.000427447,,
722,6.58115E-07,0.000427395,,
723,6.58124E-07,0.000427429,,
724,6.58133E-07,0.000427866,,
725,6.58143E-07,0.000427902,,
726,6.58152E-07,0.000428027,,
727,6.58162E-07,0.000428924,,
728,6.58171E-07,0.000429723,,
729,6.58181E-07,0.000430212,,
730,6.5819E-07,0.000430458,,
731,6.58199E-07,0.000430662,,
732,6.58209E-07,0.000430739,,
733,6.58218E-07,0.000430726,,
734,6.58228E-07,0.000430734,,
735,6.58237E-07,0.000430828,,
736,6.58247E-07,0.000430266,,
737,6.58256E-07,0.000429514,,
738,6.58265E-07,0.000429403,,
739,6.58275E-07,0.000429145,,
740,6.58284E-07,0.000429412,,
741,6.58294E-07,0.000429963,,
742,6.58303E-07,0.000429849,,
743,6.58313E-07,0.000429446,,
744,6.58322E-07,0.000429062,,
745,6.58332E-07,0.000428736,,
746,6.58341E-07,0.000428584,,
747,6.5835E-07,0.00042854,,
748,6.5836E-07,0.000428434,,
749,6.58369E-07,0.000427485,,
750,6.58379E-07,0.000427124,,
751,6.58388E-07,0.000426937,,
752,6.58398E-07,0.00042688,,
753,6.58407E-07,0.000426684,,
754,6.58416E-07,0.00042678,,
755,6.58426E-07,0.000426806,,
756,6.58435E-07,0.000426709,,
757,6.58445E-07,0.000426533,,
758,6.58454E-07,0.000426609,,
759,6.58464E-07,0.000426608,,
760,6.58473E-07,0.000426382,,
761,6.58482E-07,0.000427066,,
762,6.58492E-07,0.000428001,,
763,6.58501E-07,0.000428416,,
764,6.58511E-07,0.000428373,,
765,6.5852E-07,0.000427989,,
766,6.5853E-07,0.000428092,,
767,6.58539E-07,0.000428272,,
768,6.58549E-07,0.000428272,,
